
0.000000e+00  1.000000e+00 5.000000e-01
3.333333e-01  1.080440e+00 4.652778e-01
6.666667e-01  1.154877e+00 4.279707e-01
1.000000e+00  1.222899e+00 3.882860e-01
1.333333e+00  1.284126e+00 3.464441e-01
1.666667e+00  1.338220e+00 3.026776e-01
2.000000e+00  1.384878e+00 2.572295e-01
2.333333e+00  1.423844e+00 2.103523e-01
2.666667e+00  1.454899e+00 1.623066e-01
3.000000e+00  1.477871e+00 1.133591e-01
3.333333e+00  1.492632e+00 6.378185e-02
3.666667e+00  1.499102e+00 1.385027e-02
4.000000e+00  1.497243e+00 -3.615827e-02
4.333333e+00  1.487066e+00 -8.596592e-02
4.666667e+00  1.468627e+00 -1.352960e-01
5.000000e+00  1.442030e+00 -1.838744e-01
5.333333e+00  1.407421e+00 -2.314313e-01
5.666667e+00  1.364993e+00 -2.777025e-01
6.000000e+00  1.314982e+00 -3.224308e-01
6.333333e+00  1.257665e+00 -3.653679e-01
6.666667e+00  1.193362e+00 -4.062752e-01
7.000000e+00  1.122428e+00 -4.449254e-01
7.333333e+00  1.045259e+00 -4.811038e-01
7.666667e+00  9.622833e-01 -5.146093e-01
8.000000e+00  8.739612e-01 -5.452560e-01
8.333333e+00  7.807837e-01 -5.728734e-01
8.666667e+00  6.832686e-01 -5.973082e-01
9.000000e+00  5.819575e-01 -6.184247e-01
9.333333e+00  4.774133e-01 -6.361054e-01
9.666667e+00  3.702169e-01 -6.502522e-01
1.000000e+01  2.609636e-01 -6.607865e-01
1.033333e+01  1.502606e-01 -6.676498e-01
1.066667e+01  3.872280e-02 -6.708039e-01
1.100000e+01  -7.303014e-02 -6.702313e-01
1.133333e+01  -1.843773e-01 -6.659352e-01
1.166667e+01  -2.947002e-01 -6.579395e-01
1.200000e+01  -4.033859e-01 -6.462885e-01
1.233333e+01  -5.098305e-01 -6.310471e-01
1.266667e+01  -6.134428e-01 -6.122998e-01
1.300000e+01  -7.136470e-01 -5.901509e-01
1.333333e+01  -8.098865e-01 -5.647234e-01
1.366667e+01  -9.016267e-01 -5.361585e-01
1.400000e+01  -9.883578e-01 -5.046149e-01
1.433333e+01  -1.069598e+00 -4.702679e-01
1.466667e+01  -1.144896e+00 -4.333084e-01
1.500000e+01  -1.213834e+00 -3.939415e-01
1.533333e+01  -1.276028e+00 -3.523861e-01
1.566667e+01  -1.331132e+00 -3.088730e-01
1.600000e+01  -1.378842e+00 -2.636440e-01
1.633333e+01  -1.418892e+00 -2.169502e-01
1.666667e+01  -1.451059e+00 -1.690512e-01
1.700000e+01  -1.475164e+00 -1.202130e-01
1.733333e+01  -1.491074e+00 -7.070694e-02
1.766667e+01  -1.498700e+00 -2.080807e-02
1.800000e+01  -1.498000e+00 2.920640e-02
1.833333e+01  -1.488978e+00 7.905862e-02
1.866667e+01  -1.471684e+00 1.284716e-01
1.900000e+01  -1.446214e+00 1.771709e-01
1.933333e+01  -1.412709e+00 2.248859e-01
1.966667e+01  -1.371356e+00 2.713515e-01
