0.000000 0.100000 0.050000 0.000000 2.000000 0.100000, 0.050000, 0.039933, -0.398002, 0.074919, -1.097127, 3.420028
0.000732 0.086994 0.060745 0.001484 1.997917 0.086994, 0.060745, 0.034754, -0.398487, 0.077249, -1.097196, 3.420028
0.001459 0.074055 0.071432 0.001878 1.996929 0.074055, 0.071432, 0.029595, -0.398904, 0.079555, -1.097119, 3.420028
0.002179 0.061245 0.082011 0.001200 1.997019 0.061245, 0.082011, 0.024483, -0.399250, 0.081826, -1.096897, 3.420028
0.002890 0.048610 0.092447 -0.000509 1.998146 0.048610, 0.092447, 0.019436, -0.399528, 0.084057, -1.096538, 3.420028
0.003591 0.036182 0.102715 -0.003190 2.000254 0.036182, 0.102715, 0.014470, -0.399738, 0.086244, -1.096049, 3.420028
0.004282 0.023983 0.112801 -0.006777 2.003276 0.023983, 0.112801, 0.009592, -0.399885, 0.088386, -1.095436, 3.420028
0.004963 0.012021 0.122700 -0.011201 2.007144 0.012021, 0.122700, 0.004808, -0.399971, 0.090483, -1.094708, 3.420028
0.005636 0.000293 0.132415 -0.016394 2.011788 0.000293, 0.132415, 0.000117, -0.400000, 0.092537, -1.093872, 3.420028
0.006300 -0.011210 0.141957 -0.022294 2.017145 6.271975, 0.141957, -0.004484, -0.399975, 0.094552, -1.092934, 3.420028
0.006958 -0.022507 0.151339 -0.028845 2.023159 6.260678, 0.151339, -0.009002, -0.399899, 0.096532, -1.091898, 3.420028
0.007611 -0.033617 0.160582 -0.036000 2.029781 6.249569, 0.160582, -0.013444, -0.399774, 0.098481, -1.090768, 3.420028
0.008261 -0.044561 0.169702 -0.043720 2.036971 6.238624, 0.169702, -0.017819, -0.399603, 0.100404, -1.089547, 3.420028
0.008909 -0.055363 0.178721 -0.051970 2.044692 6.227822, 0.178721, -0.022134, -0.399387, 0.102306, -1.088237, 3.420028
0.009558 -0.066044 0.187657 -0.060724 2.052917 6.217141, 0.187657, -0.026398, -0.399128, 0.104192, -1.086839, 3.420028
0.010208 -0.076624 0.196527 -0.069958 2.061621 6.206561, 0.196527, -0.030620, -0.398826, 0.106065, -1.085352, 3.420028
0.010862 -0.087122 0.205349 -0.079652 2.070782 6.196063, 0.205349, -0.034805, -0.398483, 0.107931, -1.083776, 3.420028
0.011520 -0.097557 0.214138 -0.089792 2.080385 6.185629, 0.214138, -0.038961, -0.398098, 0.109793, -1.082110, 3.420028
0.012184 -0.107944 0.222911 -0.100363 2.090414 6.175241, 0.222911, -0.043094, -0.397672, 0.111655, -1.080353, 3.420028
